ts,lat,status
0.0,71.9,200
0.6,61.9,200
1.2,367.1,200
1.8,68.2,200
2.4,66.9,200
3.0,80.6,200
3.6,87.1,200
4.2,61.1,200
4.8,56.6,200
5.4,65.7,200
6.0,57.6,200
6.6,41.6,200
7.2,38.1,200
7.8,198.9,200
8.4,58.5,200
9.0,65.9,200
9.6,50.5,200
10.2,70.8,200
10.8,52.9,200
11.4,54.2,200
12.0,47.8,200
12.6,45.3,200
13.2,72.8,200
13.8,62.6,200
14.4,51.3,200
15.0,80.1,200
15.6,60.4,200
16.2,79.3,200
16.8,70.0,200
17.4,555.1,200
18.0,41.5,200
18.6,40.9,200
19.2,20.7,200
19.8,52.7,200
20.4,48.5,200
21.0,57.3,200
21.6,89.4,200
22.2,51.2,200
22.8,68.7,200
23.4,50.8,200
24.0,34.7,200
24.6,53.6,500
25.2,87.8,200
25.8,46.7,200
26.4,66.0,200
27.0,57.9,200
27.6,71.8,200
28.2,72.3,200
28.8,64.4,200
29.4,78.1,200
30.0,50.5,200
30.6,47.0,200
31.2,50.8,200
31.8,54.3,200
32.4,84.6,200
33.0,43.4,200
33.6,83.7,200
34.2,85.9,200
34.8,62.5,200
35.4,66.3,200
36.0,40.0,200
36.6,21.7,200
37.2,60.1,200
37.8,69.7,200
38.4,74.4,200
39.0,52.5,200
39.6,80.3,200
40.2,26.1,200
40.8,63.4,200
41.4,74.8,200
42.0,63.5,200
42.6,43.9,200
43.2,58.3,200
43.8,51.5,200
44.4,59.9,200
45.0,54.9,200
45.6,65.9,200
46.2,58.5,200
46.8,83.0,200
47.4,81.6,200
48.0,44.2,200
48.6,50.8,200
49.2,42.2,200
49.8,73.6,200
50.4,7.9,200
51.0,74.0,200
51.6,88.3,200
52.2,47.4,200
52.8,54.1,200
53.4,201.2,200
54.0,53.2,200
54.6,81.1,200
55.2,48.7,200
55.8,56.1,200
56.4,58.5,200
57.0,77.3,200
57.6,59.8,200
58.2,61.2,200
58.8,224.9,200
59.4,54.9,200
60.0,32.7,200
60.6,52.0,200
61.2,81.5,200
61.8,44.1,200
62.4,80.8,200
63.0,75.7,200
63.6,87.1,200
64.2,47.2,200
64.8,58.9,200
65.4,46.6,200
66.0,57.2,200
66.6,86.2,200
67.2,66.8,200
67.8,44.8,200
68.4,64.7,200
69.0,72.5,200
69.6,25.9,200
70.2,84.9,200
70.8,76.7,200
71.4,94.6,200
72.0,52.0,200
72.6,78.9,200
73.2,59.8,200
73.8,59.2,200
74.4,53.2,200
75.0,47.5,200
75.6,73.8,200
76.2,40.5,200
76.8,57.8,200
77.4,67.5,200
78.0,50.5,200
78.6,51.6,500
79.2,40.8,200
79.8,49.5,200
80.4,81.8,200
81.0,44.4,200
81.6,45.9,200
82.2,83.8,200
82.8,71.1,200
83.4,61.7,200
84.0,53.2,200
84.6,52.8,200
85.2,85.0,200
85.8,60.9,200
86.4,77.5,200
87.0,55.3,200
87.6,67.1,200
88.2,38.9,200
88.8,41.8,200
89.4,44.5,200
90.0,59.3,200
90.6,43.0,200
91.2,39.1,200
91.8,57.2,200
92.4,52.1,200
93.0,76.9,200
93.6,74.1,200
94.2,66.0,200
94.8,76.4,200
95.4,48.8,200
96.0,74.0,200
96.6,60.5,200
97.2,59.7,200
97.8,41.1,200
98.4,73.4,200
99.0,62.5,200
99.6,372.8,200
100.2,75.0,200
100.8,54.9,200
101.4,53.7,200
102.0,48.2,200
102.6,82.5,200
103.2,62.6,200
103.8,61.5,200
104.4,64.2,200
105.0,38.6,200
105.6,64.5,200
106.2,66.4,200
106.8,61.0,200
107.4,51.0,200
108.0,335.0,200
108.6,58.4,200
109.2,41.1,200
109.8,74.4,200
110.4,64.1,200
111.0,31.1,200
111.6,50.9,200
112.2,73.0,200
112.8,63.1,200
113.4,53.6,200
114.0,37.6,200
114.6,69.6,200
115.2,44.0,200
115.8,61.7,200
116.4,86.5,200
117.0,76.1,200
117.6,88.8,200
118.2,65.2,200
118.8,77.0,200
119.4,44.1,200
120.0,56.8,200
120.6,42.9,200
121.2,61.8,200
121.8,53.6,200
122.4,41.8,200
123.0,63.1,200
123.6,58.5,200
124.2,71.3,200
124.8,60.7,200
125.4,50.4,200
126.0,47.9,200
126.6,58.1,200
127.2,78.5,200
127.8,61.6,200
128.4,81.2,200
129.0,81.5,200
129.6,51.1,200
130.2,63.5,200
130.8,55.2,200
131.4,63.4,200
132.0,44.1,200
132.6,105.2,200
133.2,62.8,200
133.8,78.0,200
134.4,52.9,200
135.0,79.6,200
135.6,65.3,200
136.2,81.4,200
136.8,40.8,500
137.4,66.2,200
138.0,38.1,200
138.6,66.5,200
139.2,74.4,200
139.8,53.6,200
140.4,68.1,200
141.0,63.9,200
141.6,76.3,200
142.2,76.1,200
142.8,63.7,200
143.4,62.1,200
144.0,87.7,200
144.6,53.2,200
145.2,59.5,200
145.8,64.3,200
146.4,68.3,200
147.0,78.1,200
147.6,48.8,200
148.2,79.3,200
148.8,85.9,200
149.4,50.7,200
150.0,75.0,200
150.6,57.2,200
151.2,51.7,200
151.8,65.0,200
152.4,65.4,200
153.0,78.1,200
153.6,80.3,200
154.2,56.5,200
154.8,99.0,200
155.4,85.9,200
156.0,36.2,200
156.6,60.2,200
157.2,60.7,200
157.8,79.0,200
158.4,67.9,200
159.0,50.9,200
159.6,65.2,200
160.2,49.0,200
160.8,71.1,200
161.4,75.0,200
162.0,55.8,200
162.6,68.7,200
163.2,83.9,200
163.8,66.7,200
164.4,78.1,200
165.0,21.9,200
165.6,80.9,200
166.2,37.7,200
166.8,41.5,200
167.4,71.7,200
168.0,52.3,200
168.6,39.7,200
169.2,50.3,200
169.8,409.1,200
170.4,37.0,200
171.0,35.2,200
171.6,39.7,200
172.2,37.3,200
172.8,63.6,200
173.4,48.0,200
174.0,62.4,200
174.6,51.2,200
175.2,67.1,200
175.8,55.7,200
176.4,70.9,500
177.0,29.6,200
177.6,41.7,200
178.2,48.8,200
178.8,47.1,200
179.4,71.4,200
180.0,48.4,200
180.6,99.8,200
181.2,59.8,200
181.8,55.2,200
182.4,66.2,200
183.0,40.5,200
183.6,56.0,200
184.2,38.4,200
184.8,54.1,200
185.4,75.1,200
186.0,59.9,200
186.6,50.7,200
187.2,84.2,200
187.8,45.4,200
188.4,59.7,200
189.0,46.4,200
189.6,75.4,200
190.2,41.5,200
190.8,60.6,200
191.4,57.6,200
192.0,36.0,200
192.6,45.9,200
193.2,74.4,200
193.8,47.2,200
194.4,70.7,200
195.0,53.1,200
195.6,53.2,200
196.2,60.3,200
196.8,58.4,200
197.4,23.8,200
198.0,74.1,200
198.6,350.7,200
199.2,25.5,200
199.8,72.8,200
200.4,74.0,200
201.0,58.0,200
201.6,38.8,200
202.2,331.0,200
202.8,60.3,200
203.4,67.8,200
204.0,66.4,200
204.6,89.6,200
205.2,65.3,500
205.8,53.5,200
206.4,62.6,200
207.0,60.4,200
207.6,83.4,200
208.2,68.0,200
208.8,52.8,200
209.4,297.0,200
210.0,72.2,200
210.6,46.5,200
211.2,41.4,200
211.8,73.2,200
212.4,55.7,200
213.0,56.5,200
213.6,78.4,200
214.2,59.4,200
214.8,73.1,200
215.4,42.6,200
216.0,61.8,200
216.6,73.5,200
217.2,52.6,200
217.8,47.5,200
218.4,65.6,200
219.0,63.7,200
219.6,47.6,200
220.2,54.9,200
220.8,76.2,200
221.4,42.3,200
222.0,65.1,200
222.6,81.3,200
223.2,61.6,200
223.8,40.5,200
224.4,218.7,200
225.0,45.9,200
225.6,69.9,200
226.2,405.8,200
226.8,46.1,200
227.4,269.3,200
228.0,63.4,200
228.6,75.3,200
229.2,54.2,200
229.8,57.4,200
230.4,56.9,200
231.0,81.9,200
231.6,72.0,200
232.2,70.4,200
232.8,74.4,200
233.4,64.2,500
234.0,67.5,200
234.6,68.7,500
235.2,42.9,200
235.8,76.0,200
236.4,314.2,200
237.0,56.6,200
237.6,38.9,200
238.2,247.5,200
238.8,66.6,200
239.4,40.3,200
240.0,60.8,200
240.6,80.0,200
241.2,55.5,200
241.8,67.9,200
242.4,45.9,200
243.0,79.6,200
243.6,66.6,200
244.2,79.3,200
244.8,34.9,200
245.4,60.9,200
246.0,46.1,200
246.6,44.2,200
247.2,48.1,200
247.8,64.5,200
248.4,55.1,200
249.0,61.5,200
249.6,46.6,200
250.2,48.2,200
250.8,34.0,200
251.4,68.5,200
252.0,66.5,200
252.6,62.7,200
253.2,65.3,200
253.8,70.0,200
254.4,51.5,200
255.0,68.8,200
255.6,56.7,200
256.2,55.6,200
256.8,41.9,200
257.4,32.8,200
258.0,36.9,200
258.6,91.8,200
259.2,54.7,200
259.8,73.6,200
260.4,58.4,200
261.0,37.2,200
261.6,53.9,200
262.2,67.2,200
262.8,63.9,200
263.4,64.6,200
264.0,63.1,200
264.6,57.2,200
265.2,74.8,200
265.8,84.1,200
266.4,40.9,200
267.0,72.0,200
267.6,42.4,200
268.2,65.8,200
268.8,35.5,200
269.4,86.8,200
270.0,21.5,200
270.6,53.3,200
271.2,40.7,200
271.8,36.3,200
272.4,54.4,200
273.0,84.8,200
273.6,70.0,200
274.2,282.4,200
274.8,49.0,200
275.4,299.3,200
276.0,71.6,200
276.6,41.6,200
277.2,57.3,200
277.8,261.3,200
278.4,58.9,200
279.0,88.5,200
279.6,284.9,200
280.2,72.3,200
280.8,85.0,200
281.4,80.9,200
282.0,69.8,200
282.6,72.5,200
283.2,94.9,200
283.8,80.8,200
284.4,45.9,200
285.0,55.0,200
285.6,86.3,200
286.2,62.7,200
286.8,293.7,200
287.4,46.6,200
288.0,63.1,200
288.6,43.5,200
289.2,62.7,200
289.8,43.6,200
290.4,76.5,200
291.0,52.7,200
291.6,65.1,200
292.2,73.1,200
292.8,38.7,200
293.4,83.2,200
294.0,42.4,200
294.6,60.4,200
295.2,77.9,200
295.8,69.7,200
296.4,53.2,200
297.0,49.1,200
297.6,89.2,200
298.2,68.0,200
298.8,65.6,200
299.4,58.1,200
300.0,68.0,200
300.6,287.8,200
301.2,62.6,200
301.8,45.9,200
302.4,73.7,200
303.0,55.4,200
303.6,53.3,200
304.2,50.8,200
304.8,49.2,200
305.4,55.6,200
306.0,75.1,200
306.6,51.3,200
307.2,53.9,200
307.8,62.2,200
308.4,77.2,200
309.0,67.4,200
309.6,42.7,200
310.2,39.7,200
310.8,60.9,200
311.4,56.6,200
312.0,55.1,200
312.6,55.9,200
313.2,63.4,200
313.8,32.3,200
314.4,54.1,200
315.0,47.5,200
315.6,75.6,200
316.2,56.6,200
316.8,66.8,200
317.4,71.4,200
318.0,66.5,200
318.6,50.6,200
319.2,42.7,200
319.8,56.3,200
320.4,56.2,200
321.0,39.9,200
321.6,80.6,200
322.2,66.1,200
322.8,48.7,200
323.4,46.5,200
324.0,67.7,200
324.6,38.5,200
325.2,49.9,200
325.8,61.0,200
326.4,86.2,200
327.0,28.7,200
327.6,48.4,200
328.2,62.5,200
328.8,51.5,200
329.4,52.5,200
330.0,50.2,200
330.6,83.5,200
331.2,95.8,200
331.8,65.2,200
332.4,76.7,200
333.0,65.5,200
333.6,69.1,200
334.2,47.0,200
334.8,44.2,200
335.4,71.4,200
336.0,61.1,200
336.6,47.9,200
337.2,39.0,200
337.8,76.5,200
338.4,211.8,200
339.0,59.0,200
339.6,40.3,200
340.2,65.5,200
340.8,84.6,200
341.4,58.6,200
342.0,56.8,200
342.6,47.8,200
343.2,36.8,200
343.8,232.8,200
344.4,85.7,200
345.0,54.6,200
345.6,70.1,200
346.2,78.5,200
346.8,95.8,200
347.4,67.2,200
348.0,54.4,200
348.6,45.6,200
349.2,67.6,200
349.8,63.1,200
350.4,56.4,200
351.0,68.5,200
351.6,56.1,200
352.2,38.8,200
352.8,50.0,200
353.4,56.2,200
354.0,56.3,200
354.6,47.4,200
355.2,76.2,200
355.8,75.6,200
356.4,64.2,200
357.0,48.3,200
357.6,59.3,200
358.2,77.1,200
358.8,73.5,200
359.4,75.8,200
360.0,56.8,200
360.6,56.2,200
361.2,79.0,200
361.8,60.6,200
362.4,50.1,200
363.0,61.4,200
363.6,76.6,200
364.2,70.4,200
364.8,74.1,200
365.4,87.7,200
366.0,24.8,200
366.6,61.0,200
367.2,53.5,500
367.8,57.0,200
368.4,24.6,200
369.0,61.4,200
369.6,68.7,200
370.2,74.2,200
370.8,37.0,200
371.4,49.6,200
372.0,53.6,200
372.6,59.4,200
373.2,60.1,200
373.8,71.7,200
374.4,59.6,200
375.0,57.8,200
375.6,54.7,200
376.2,74.3,200
376.8,84.7,200
377.4,82.5,200
378.0,74.2,200
378.6,80.4,200
379.2,38.5,200
379.8,54.8,200
380.4,74.2,200
381.0,68.0,200
381.6,43.0,200
382.2,54.7,200
382.8,67.6,200
383.4,66.8,200
384.0,42.8,200
384.6,65.2,200
385.2,57.5,200
385.8,45.2,200
386.4,57.0,200
387.0,64.5,200
387.6,75.1,200
388.2,63.0,200
388.8,18.6,200
389.4,82.6,200
390.0,50.9,200
390.6,39.9,200
391.2,42.1,200
391.8,278.7,200
392.4,53.3,200
393.0,81.4,200
393.6,53.2,200
394.2,69.9,200
394.8,37.7,200
395.4,72.4,200
396.0,79.8,200
396.6,64.2,200
397.2,61.0,200
397.8,70.4,200
398.4,69.8,200
399.0,37.7,200
399.6,57.3,200
400.2,67.9,200
400.8,89.3,200
401.4,50.2,200
402.0,95.2,200
402.6,53.8,200
403.2,68.6,200
403.8,71.8,200
404.4,52.8,200
405.0,33.8,200
405.6,67.4,200
406.2,68.4,200
406.8,80.1,200
407.4,73.2,200
408.0,66.8,200
408.6,53.1,200
409.2,69.2,200
409.8,50.1,200
410.4,103.7,200
411.0,99.7,200
411.6,76.4,200
412.2,50.3,200
412.8,58.7,200
413.4,77.9,200
414.0,77.8,200
414.6,31.9,200
415.2,67.1,200
415.8,69.3,200
416.4,52.9,200
417.0,72.9,200
417.6,58.7,200
418.2,87.8,200
418.8,62.5,200
419.4,51.2,200
420.0,283.6,200
420.6,55.9,200
421.2,61.4,200
421.8,44.6,200
422.4,45.5,500
423.0,59.5,200
423.6,58.3,200
424.2,60.1,200
424.8,62.8,200
425.4,59.6,200
426.0,65.3,200
426.6,64.2,200
427.2,58.4,200
427.8,75.0,200
428.4,63.4,200
429.0,82.5,200
429.6,72.2,200
430.2,340.6,200
430.8,44.0,200
431.4,60.0,200
432.0,55.6,200
432.6,59.2,200
433.2,65.6,200
433.8,61.7,200
434.4,71.8,200
435.0,54.4,200
435.6,55.2,200
436.2,63.6,200
436.8,70.7,200
437.4,51.8,200
438.0,19.4,200
438.6,59.8,200
439.2,64.4,200
439.8,114.6,200
440.4,77.4,200
441.0,59.2,200
441.6,56.6,200
442.2,54.6,200
442.8,73.4,200
443.4,79.5,200
444.0,72.9,200
444.6,60.4,200
445.2,41.9,200
445.8,66.0,200
446.4,49.2,200
447.0,52.3,200
447.6,86.5,200
448.2,41.0,200
448.8,68.2,200
449.4,69.7,200
450.0,54.0,200
450.6,60.6,200
451.2,62.4,200
451.8,66.7,200
452.4,64.5,200
453.0,47.4,200
453.6,68.7,200
454.2,70.0,200
454.8,72.2,200
455.4,57.6,200
456.0,40.3,200
456.6,79.4,200
457.2,38.2,200
457.8,53.6,200
458.4,48.5,200
459.0,64.7,200
459.6,38.8,200
460.2,60.1,200
460.8,101.0,200
461.4,80.6,200
462.0,53.3,200
462.6,42.5,200
463.2,55.9,200
463.8,55.2,200
464.4,101.4,200
465.0,71.8,200
465.6,58.0,200
466.2,60.9,200
466.8,45.5,200
467.4,52.6,200
468.0,58.1,200
468.6,62.8,200
469.2,67.7,200
469.8,57.0,200
470.4,44.1,200
471.0,62.4,200
471.6,81.9,200
472.2,79.3,200
472.8,60.4,200
473.4,69.3,200
474.0,52.1,200
474.6,326.9,200
475.2,66.5,200
475.8,79.0,200
476.4,61.9,200
477.0,55.0,200
477.6,48.7,200
478.2,63.1,200
478.8,44.7,200
479.4,47.2,200
480.0,56.6,200
480.6,47.9,200
481.2,56.7,200
481.8,69.0,200
482.4,52.8,200
483.0,66.4,200
483.6,43.6,200
484.2,54.1,200
484.8,58.7,200
485.4,61.6,200
486.0,37.2,200
486.6,60.7,200
487.2,84.9,200
487.8,64.9,200
488.4,36.2,200
489.0,66.5,200
489.6,64.4,200
490.2,162.1,200
490.8,16.5,200
491.4,47.0,200
492.0,76.4,200
492.6,59.9,200
493.2,61.8,200
493.8,49.1,200
494.4,53.9,200
495.0,53.3,200
495.6,52.8,200
496.2,69.8,200
496.8,56.8,200
497.4,89.5,200
498.0,67.5,200
498.6,27.2,200
499.2,60.0,200
499.8,83.6,200
500.4,49.5,200
501.0,54.5,200
501.6,75.1,200
502.2,70.0,200
502.8,59.5,200
503.4,60.9,200
504.0,52.7,200
504.6,47.9,200
505.2,62.8,200
