variant,task,session_length,model,samples,median_total_tokens,median_time_seconds,median_usd_cost,success_rate,retry_count_avg,stdev_total_tokens,stdev_time_seconds
ilo-post-phase-1,01-simple-function,1,claude-haiku-4-5-20251001,3,1634,0.02,0.00161,1.0,0.6666666666666666,88.2,0.001
ilo-post-phase-1,01-simple-function,5,claude-haiku-4-5-20251001,15,554,0.018,0.00011,1.0,0.6666666666666666,440.9,0.002
ilo-post-phase-1,01-simple-function,20,claude-haiku-4-5-20251001,60,554.0,0.018,0.00011,1.0,0.6666666666666666,251.3,0.002
ilo-post-phase-1,01-simple-function,50,claude-haiku-4-5-20251001,150,554.0,0.019,0.00011,1.0,0.6666666666666666,175.0,0.003
ilo-post-phase-1,01-simple-function,100,claude-haiku-4-5-20251001,300,554.0,0.018,0.00011,1.0,0.6666666666666666,139.0,0.003
ilo-post-phase-1,02-with-dependencies,1,claude-haiku-4-5-20251001,3,1648,0.022,0.00174,1.0,0.6666666666666666,94.3,0.001
ilo-post-phase-1,02-with-dependencies,5,claude-haiku-4-5-20251001,15,568,0.021,0.00026,1.0,0.6666666666666666,442.2,0.002
ilo-post-phase-1,02-with-dependencies,20,claude-haiku-4-5-20251001,60,568.0,0.0235,0.00026,1.0,0.6666666666666666,253.6,0.003
ilo-post-phase-1,02-with-dependencies,50,claude-haiku-4-5-20251001,150,568.0,0.022,0.00026,1.0,0.6666666666666666,178.2,0.002
ilo-post-phase-1,02-with-dependencies,100,claude-haiku-4-5-20251001,300,568.0,0.024,0.00026,1.0,0.6666666666666666,143.0,0.004
ilo-post-phase-1,03-data-transform,1,claude-haiku-4-5-20251001,3,1622,0.037,0.00165,1.0,0.6666666666666666,93.3,0.009
ilo-post-phase-1,03-data-transform,5,claude-haiku-4-5-20251001,15,542,0.038,0.00017,1.0,0.6666666666666666,442.0,0.009
ilo-post-phase-1,03-data-transform,20,claude-haiku-4-5-20251001,60,542.0,0.036,0.00017,1.0,0.6666666666666666,253.2,0.01
ilo-post-phase-1,03-data-transform,50,claude-haiku-4-5-20251001,150,542.0,0.034,0.00017,1.0,0.6666666666666666,177.7,0.009
ilo-post-phase-1,03-data-transform,100,claude-haiku-4-5-20251001,300,542.0,0.034,0.00017,1.0,0.6666666666666666,142.3,0.009
ilo-post-phase-1,04-tool-interaction,1,claude-haiku-4-5-20251001,3,1631,0.019,0.00163,1.0,0.6666666666666666,91.5,0.002
ilo-post-phase-1,04-tool-interaction,5,claude-haiku-4-5-20251001,15,551,0.022,0.00014,1.0,0.6666666666666666,441.6,0.002
